"Date","Open","High","Low","Close"
"Fri May 29 2009 00:00:00 GMT+0530 (India Standard Time)","4340.75","4488.05","4340.75","4448.95"
"Mon Jun 01 2009 00:00:00 GMT+0530 (India Standard Time)","4450.39","4545.39","4450.39","4529.89"
"Tue Jun 02 2009 00:00:00 GMT+0530 (India Standard Time)","4530.45","4586.39","4451.30","4525.25"
"Wed Jun 03 2009 00:00:00 GMT+0530 (India Standard Time)","4525.50","4574.89","4478.60","4530.70"
"Thu Jun 04 2009 00:00:00 GMT+0530 (India Standard Time)","4530.30","4582.20","4453.45","4572.64"
"Fri Jun 05 2009 00:00:00 GMT+0530 (India Standard Time)","4573.30","4636.85","4561.95","4586.89"
"Mon Jun 08 2009 00:00:00 GMT+0530 (India Standard Time)","4582.35","4611.39","4404.64","4429.89"
"Tue Jun 09 2009 00:00:00 GMT+0530 (India Standard Time)","4427.75","4562.45","4365.10","4550.95"
"Wed Jun 10 2009 00:00:00 GMT+0530 (India Standard Time)","4551.70","4688.95","4551.70","4655.25"
"Thu Jun 11 2009 00:00:00 GMT+0530 (India Standard Time)","4657.39","4679.55","4586.14","4637.70"
"Fri Jun 12 2009 00:00:00 GMT+0530 (India Standard Time)","4637.55","4693.20","4566.14","4583.39"
"Mon Jun 15 2009 00:00:00 GMT+0530 (India Standard Time)","4584.64","4601.05","4469.60","4484.00"
"Tue Jun 16 2009 00:00:00 GMT+0530 (India Standard Time)","4478.10","4537.95","4405.95","4517.80"
"Wed Jun 17 2009 00:00:00 GMT+0530 (India Standard Time)","4515.35","4517.80","4332.80","4356.14"
"Thu Jun 18 2009 00:00:00 GMT+0530 (India Standard Time)","4352.95","4375.30","4222.14","4251.39"
"Fri Jun 19 2009 00:00:00 GMT+0530 (India Standard Time)","4251.10","4326.20","4206.70","4313.60"
"Mon Jun 22 2009 00:00:00 GMT+0530 (India Standard Time)","4314.20","4352.25","4221.89","4235.25"
"Tue Jun 23 2009 00:00:00 GMT+0530 (India Standard Time)","4223.30","4267.45","4143.25","4247.00"
"Wed Jun 24 2009 00:00:00 GMT+0530 (India Standard Time)","4247.30","4307.00","4218.25","4292.95"
"Thu Jun 25 2009 00:00:00 GMT+0530 (India Standard Time)","4293.85","4337.95","4221.14","4241.85"
"Fri Jun 26 2009 00:00:00 GMT+0530 (India Standard Time)","4243.95","4383.75","4243.95","4375.50"
"Mon Jun 29 2009 00:00:00 GMT+0530 (India Standard Time)","4375.39","4439.95","4350.89","4390.95"
"Tue Jun 30 2009 00:00:00 GMT+0530 (India Standard Time)","4391.50","4426.75","4267.35","4291.10"
"Wed Jul 01 2009 00:00:00 GMT+0530 (India Standard Time)","4292.30","4362.30","4249.70","4340.89"
"Thu Jul 02 2009 00:00:00 GMT+0530 (India Standard Time)","4373.50","4383.64","4288.75","4348.85"
"Fri Jul 03 2009 00:00:00 GMT+0530 (India Standard Time)","4347.30","4434.45","4298.95","4424.25"
"Mon Jul 06 2009 00:00:00 GMT+0530 (India Standard Time)","4429.60","4479.80","4133.70","4165.70"
"Tue Jul 07 2009 00:00:00 GMT+0530 (India Standard Time)","4166.00","4231.80","4155.50","4202.14"
"Wed Jul 08 2009 00:00:00 GMT+0530 (India Standard Time)","4201.85","4201.85","4061.10","4078.90"
"Thu Jul 09 2009 00:00:00 GMT+0530 (India Standard Time)","4078.75","4114.89","4039.85","4080.95"
"Fri Jul 10 2009 00:00:00 GMT+0530 (India Standard Time)","4081.40","4129.95","3976.80","4003.90"
"Mon Jul 13 2009 00:00:00 GMT+0530 (India Standard Time)","4003.40","4003.40","3918.75","3974.05"
"Tue Jul 14 2009 00:00:00 GMT+0530 (India Standard Time)","3974.10","4128.89","3974.10","4111.39"
"Wed Jul 15 2009 00:00:00 GMT+0530 (India Standard Time)","4120.80","4249.55","4118.75","4233.50"
"Thu Jul 16 2009 00:00:00 GMT+0530 (India Standard Time)","4223.50","4305.00","4205.50","4231.39"
"Fri Jul 17 2009 00:00:00 GMT+0530 (India Standard Time)","4231.45","4390.39","4230.14","4374.95"
"Mon Jul 20 2009 00:00:00 GMT+0530 (India Standard Time)","4377.89","4510.30","4377.89","4502.25"
"Tue Jul 21 2009 00:00:00 GMT+0530 (India Standard Time)","4501.50","4524.00","4436.60","4469.10"
"Wed Jul 22 2009 00:00:00 GMT+0530 (India Standard Time)","4469.30","4557.95","4380.45","4398.89"
"Thu Jul 23 2009 00:00:00 GMT+0530 (India Standard Time)","4409.70","4532.39","4405.95","4523.75"
"Fri Jul 24 2009 00:00:00 GMT+0530 (India Standard Time)","4524.80","4578.75","4504.85","4568.55"
"Mon Jul 27 2009 00:00:00 GMT+0530 (India Standard Time)","4568.64","4596.75","4528.50","4572.30"
"Tue Jul 28 2009 00:00:00 GMT+0530 (India Standard Time)","4572.80","4599.89","4529.14","4564.10"
"Wed Jul 29 2009 00:00:00 GMT+0530 (India Standard Time)","4565.80","4573.85","4420.80","4513.50"
