"Date","Open","High","Low","Close"
"Tue Sep 13 2005 00:00:00 GMT+0530 (India Standard Time)","2484.00","2503.00","2477.10","2500.30"
"Wed Sep 14 2005 00:00:00 GMT+0530 (India Standard Time)","2500.40","2514.75","2476.00","2492.40"
"Thu Sep 15 2005 00:00:00 GMT+0530 (India Standard Time)","2492.85","2527.50","2492.75","2523.90"
"Fri Sep 16 2005 00:00:00 GMT+0530 (India Standard Time)","2524.90","2555.10","2519.05","2552.30"
"Mon Sep 19 2005 00:00:00 GMT+0530 (India Standard Time)","2555.44","2579.69","2550.44","2567.10"
"Tue Sep 20 2005 00:00:00 GMT+0530 (India Standard Time)","2567.19","2582.80","2546.60","2578.00"
"Wed Sep 21 2005 00:00:00 GMT+0530 (India Standard Time)","2576.69","2585.60","2504.90","2567.30"
"Thu Sep 22 2005 00:00:00 GMT+0530 (India Standard Time)","2567.85","2580.40","2465.85","2476.50"
"Fri Sep 23 2005 00:00:00 GMT+0530 (India Standard Time)","2480.50","2507.90","2453.05","2477.69"
"Mon Sep 26 2005 00:00:00 GMT+0530 (India Standard Time)","2477.85","2560.85","2477.85","2557.30"
"Tue Sep 27 2005 00:00:00 GMT+0530 (India Standard Time)","2558.50","2592.50","2549.85","2574.80"
"Wed Sep 28 2005 00:00:00 GMT+0530 (India Standard Time)","2574.44","2602.94","2559.85","2598.00"
"Thu Sep 29 2005 00:00:00 GMT+0530 (India Standard Time)","2598.60","2633.90","2589.44","2611.19"
"Fri Sep 30 2005 00:00:00 GMT+0530 (India Standard Time)","2607.90","2623.05","2567.75","2601.40"
"Mon Oct 03 2005 00:00:00 GMT+0530 (India Standard Time)","2601.00","2635.00","2597.19","2630.00"
"Tue Oct 04 2005 00:00:00 GMT+0530 (India Standard Time)","2630.00","2667.05","2629.60","2663.30"
"Wed Oct 05 2005 00:00:00 GMT+0530 (India Standard Time)","2663.70","2669.20","2636.60","2644.40"
"Thu Oct 06 2005 00:00:00 GMT+0530 (India Standard Time)","2643.80","2643.80","2571.30","2579.10"
"Fri Oct 07 2005 00:00:00 GMT+0530 (India Standard Time)","2577.19","2603.25","2547.55","2574.00"
"Mon Oct 10 2005 00:00:00 GMT+0530 (India Standard Time)","2577.10","2595.15","2561.00","2566.80"
"Tue Oct 11 2005 00:00:00 GMT+0530 (India Standard Time)","2569.15","2592.00","2533.69","2589.50"
"Thu Oct 13 2005 00:00:00 GMT+0530 (India Standard Time)","2584.40","2589.35","2529.05","2537.30"
"Fri Oct 14 2005 00:00:00 GMT+0530 (India Standard Time)","2537.69","2548.00","2478.00","2484.40"
"Mon Oct 17 2005 00:00:00 GMT+0530 (India Standard Time)","2488.40","2498.60","2459.50","2485.10"
"Tue Oct 18 2005 00:00:00 GMT+0530 (India Standard Time)","2485.25","2517.69","2452.50","2468.19"
"Wed Oct 19 2005 00:00:00 GMT+0530 (India Standard Time)","2467.80","2467.85","2394.94","2412.40"
"Thu Oct 20 2005 00:00:00 GMT+0530 (India Standard Time)","2421.40","2463.85","2363.55","2395.40"
"Fri Oct 21 2005 00:00:00 GMT+0530 (India Standard Time)","2397.85","2447.85","2384.05","2443.69"
"Mon Oct 24 2005 00:00:00 GMT+0530 (India Standard Time)","2444.19","2460.00","2388.40","2394.80"
"Tue Oct 25 2005 00:00:00 GMT+0530 (India Standard Time)","2394.94","2444.60","2390.85","2418.19"
"Wed Oct 26 2005 00:00:00 GMT+0530 (India Standard Time)","2418.44","2434.00","2401.10","2408.50"
"Thu Oct 27 2005 00:00:00 GMT+0530 (India Standard Time)","2408.94","2416.44","2338.60","2352.90"
"Fri Oct 28 2005 00:00:00 GMT+0530 (India Standard Time)","2352.65","2355.15","2307.44","2316.05"
"Mon Oct 31 2005 00:00:00 GMT+0530 (India Standard Time)","2314.85","2373.40","2314.19","2370.90"
"Tue Nov 01 2005 00:00:00 GMT+0530 (India Standard Time)","2366.80","2410.15","2366.80","2386.69"
"Wed Nov 02 2005 00:00:00 GMT+0530 (India Standard Time)","2386.44","2423.80","2367.75","2419.00"
"Mon Nov 07 2005 00:00:00 GMT+0530 (India Standard Time)","2419.25","2464.65","2411.60","2461.60"
"Tue Nov 08 2005 00:00:00 GMT+0530 (India Standard Time)","2463.65","2502.90","2460.00","2492.60"
"Wed Nov 09 2005 00:00:00 GMT+0530 (India Standard Time)","2493.10","2519.40","2475.69","2489.10"
"Thu Nov 10 2005 00:00:00 GMT+0530 (India Standard Time)","2489.10","2504.75","2480.85","2500.69"
