"Date","Open","High","Low","Close"
"Tue Apr 25 2017 00:00:00 GMT+0530 (India Standard Time)","9273.04","9309.20","9250.35","9306.60"
"Wed Apr 26 2017 00:00:00 GMT+0530 (India Standard Time)","9336.20","9367.00","9301.35","9351.85"
"Thu Apr 27 2017 00:00:00 GMT+0530 (India Standard Time)","9359.15","9367.15","9322.65","9342.15"
"Fri Apr 28 2017 00:00:00 GMT+0530 (India Standard Time)","9340.95","9342.65","9282.25","9304.05"
"Tue May 02 2017 00:00:00 GMT+0530 (India Standard Time)","9339.85","9352.55","9269.90","9313.80"
"Wed May 03 2017 00:00:00 GMT+0530 (India Standard Time)","9344.70","9346.30","9298.40","9311.95"
"Thu May 04 2017 00:00:00 GMT+0530 (India Standard Time)","9360.95","9365.65","9323.25","9359.90"
"Fri May 05 2017 00:00:00 GMT+0530 (India Standard Time)","9374.54","9377.10","9272.00","9285.30"
"Mon May 08 2017 00:00:00 GMT+0530 (India Standard Time)","9311.45","9338.70","9297.95","9314.05"
"Tue May 09 2017 00:00:00 GMT+0530 (India Standard Time)","9337.35","9338.95","9307.70","9316.85"
"Wed May 10 2017 00:00:00 GMT+0530 (India Standard Time)","9339.65","9414.75","9336.00","9407.30"
"Thu May 11 2017 00:00:00 GMT+0530 (India Standard Time)","9448.60","9450.65","9411.29","9422.40"
"Fri May 12 2017 00:00:00 GMT+0530 (India Standard Time)","9436.65","9437.75","9372.54","9400.90"
"Mon May 15 2017 00:00:00 GMT+0530 (India Standard Time)","9433.54","9449.25","9423.10","9445.40"
"Tue May 16 2017 00:00:00 GMT+0530 (India Standard Time)","9461.00","9517.20","9456.35","9512.25"
"Wed May 17 2017 00:00:00 GMT+0530 (India Standard Time)","9517.60","9532.60","9486.10","9525.75"
"Thu May 18 2017 00:00:00 GMT+0530 (India Standard Time)","9453.20","9489.10","9418.10","9429.45"
"Fri May 19 2017 00:00:00 GMT+0530 (India Standard Time)","9469.90","9505.75","9390.75","9427.90"
"Mon May 22 2017 00:00:00 GMT+0530 (India Standard Time)","9480.25","9498.65","9427.90","9438.25"
"Tue May 23 2017 00:00:00 GMT+0530 (India Standard Time)","9445.04","9448.05","9370.00","9386.15"
"Wed May 24 2017 00:00:00 GMT+0530 (India Standard Time)","9410.90","9431.90","9341.65","9360.55"
"Thu May 25 2017 00:00:00 GMT+0530 (India Standard Time)","9384.04","9523.30","9379.20","9509.75"
"Fri May 26 2017 00:00:00 GMT+0530 (India Standard Time)","9507.75","9604.90","9495.40","9595.10"
"Mon May 29 2017 00:00:00 GMT+0530 (India Standard Time)","9560.04","9637.75","9547.70","9604.90"
"Tue May 30 2017 00:00:00 GMT+0530 (India Standard Time)","9590.65","9635.30","9581.20","9624.55"
"Wed May 31 2017 00:00:00 GMT+0530 (India Standard Time)","9636.54","9649.60","9609.25","9621.25"
"Thu Jun 01 2017 00:00:00 GMT+0530 (India Standard Time)","9603.54","9634.65","9589.90","9616.10"
"Fri Jun 02 2017 00:00:00 GMT+0530 (India Standard Time)","9657.15","9673.50","9637.45","9653.50"
"Mon Jun 05 2017 00:00:00 GMT+0530 (India Standard Time)","9656.29","9687.20","9640.70","9675.10"
