"Date","Open","High","Low","Close"
"Wed Jun 19 2013 00:00:00 GMT+0530 (India Standard Time)","5805.75","5828.40","5777.90","5822.25"
"Thu Jun 20 2013 00:00:00 GMT+0530 (India Standard Time)","5754.15","5755.00","5645.65","5655.90"
"Fri Jun 21 2013 00:00:00 GMT+0530 (India Standard Time)","5639.90","5686.15","5616.85","5667.65"
"Mon Jun 24 2013 00:00:00 GMT+0530 (India Standard Time)","5638.05","5640.00","5566.25","5590.25"
"Tue Jun 25 2013 00:00:00 GMT+0530 (India Standard Time)","5606.95","5666.25","5570.25","5609.10"
"Wed Jun 26 2013 00:00:00 GMT+0530 (India Standard Time)","5627.95","5635.25","5579.35","5588.70"
"Thu Jun 27 2013 00:00:00 GMT+0530 (India Standard Time)","5647.95","5699.35","5630.95","5682.35"
"Fri Jun 28 2013 00:00:00 GMT+0530 (India Standard Time)","5749.50","5852.95","5749.50","5842.20"
"Mon Jul 01 2013 00:00:00 GMT+0530 (India Standard Time)","5834.10","5904.35","5822.20","5898.85"
"Tue Jul 02 2013 00:00:00 GMT+0530 (India Standard Time)","5885.50","5898.80","5852.30","5857.55"
"Wed Jul 03 2013 00:00:00 GMT+0530 (India Standard Time)","5811.95","5815.00","5760.40","5770.90"
"Thu Jul 04 2013 00:00:00 GMT+0530 (India Standard Time)","5794.75","5848.20","5786.05","5836.95"
"Fri Jul 05 2013 00:00:00 GMT+0530 (India Standard Time)","5889.95","5900.45","5858.45","5867.90"
"Mon Jul 08 2013 00:00:00 GMT+0530 (India Standard Time)","5833.15","5833.85","5775.55","5811.55"
"Tue Jul 09 2013 00:00:00 GMT+0530 (India Standard Time)","5834.60","5864.95","5834.60","5859.00"
"Wed Jul 10 2013 00:00:00 GMT+0530 (India Standard Time)","5869.90","5879.35","5802.85","5816.70"
"Thu Jul 11 2013 00:00:00 GMT+0530 (India Standard Time)","5894.50","5948.85","5887.95","5935.10"
"Fri Jul 12 2013 00:00:00 GMT+0530 (India Standard Time)","6000.50","6019.00","5951.15","6009.00"
"Mon Jul 15 2013 00:00:00 GMT+0530 (India Standard Time)","5991.20","6038.20","5980.95","6030.80"
"Tue Jul 16 2013 00:00:00 GMT+0530 (India Standard Time)","5930.80","5966.05","5910.95","5955.25"
"Wed Jul 17 2013 00:00:00 GMT+0530 (India Standard Time)","5972.25","5989.80","5926.75","5973.30"
"Thu Jul 18 2013 00:00:00 GMT+0530 (India Standard Time)","5984.70","6051.10","5974.55","6038.05"
"Fri Jul 19 2013 00:00:00 GMT+0530 (India Standard Time)","6057.20","6066.85","6020.25","6029.20"
"Mon Jul 22 2013 00:00:00 GMT+0530 (India Standard Time)","6009.75","6064.15","6004.25","6031.80"
"Tue Jul 23 2013 00:00:00 GMT+0530 (India Standard Time)","6064.30","6093.35","6061.30","6077.80"
"Wed Jul 24 2013 00:00:00 GMT+0530 (India Standard Time)","6032.20","6047.25","5962.60","5990.50"
"Thu Jul 25 2013 00:00:00 GMT+0530 (India Standard Time)","5970.40","5990.65","5896.40","5907.50"
"Fri Jul 26 2013 00:00:00 GMT+0530 (India Standard Time)","5937.95","5944.50","5869.50","5886.20"
"Mon Jul 29 2013 00:00:00 GMT+0530 (India Standard Time)","5869.95","5886.00","5825.80","5831.65"
