"Date","Open","High","Low","Close"
"Wed Apr 06 1994 00:00:00 GMT+0530 (India Standard Time)","1202.90","1202.90","1202.90","1202.90"
"Thu Apr 07 1994 00:00:00 GMT+0530 (India Standard Time)","1203.00","1203.00","1203.00","1203.00"
"Fri Apr 08 1994 00:00:00 GMT+0530 (India Standard Time)","1221.00","1221.00","1221.00","1221.00"
"Tue Apr 12 1994 00:00:00 GMT+0530 (India Standard Time)","1229.70","1229.70","1229.70","1229.70"
"Wed Apr 13 1994 00:00:00 GMT+0530 (India Standard Time)","1228.90","1228.90","1228.90","1228.90"
"Fri Apr 15 1994 00:00:00 GMT+0530 (India Standard Time)","1214.80","1214.80","1214.80","1214.80"
"Mon Apr 18 1994 00:00:00 GMT+0530 (India Standard Time)","1201.90","1201.90","1201.90","1201.90"
"Tue Apr 19 1994 00:00:00 GMT+0530 (India Standard Time)","1192.30","1192.30","1192.30","1192.30"
"Thu Apr 21 1994 00:00:00 GMT+0530 (India Standard Time)","1174.20","1174.20","1174.20","1174.20"
"Fri Apr 22 1994 00:00:00 GMT+0530 (India Standard Time)","1183.00","1183.00","1183.00","1183.00"
"Mon Apr 25 1994 00:00:00 GMT+0530 (India Standard Time)","1184.50","1184.50","1184.50","1184.50"
"Tue Apr 26 1994 00:00:00 GMT+0530 (India Standard Time)","1174.00","1174.00","1174.00","1174.00"
"Wed Apr 27 1994 00:00:00 GMT+0530 (India Standard Time)","1159.00","1159.00","1159.00","1159.00"
"Thu Apr 28 1994 00:00:00 GMT+0530 (India Standard Time)","1147.90","1147.90","1147.90","1147.90"
"Fri Apr 29 1994 00:00:00 GMT+0530 (India Standard Time)","1150.50","1150.50","1150.50","1150.50"
"Mon May 02 1994 00:00:00 GMT+0530 (India Standard Time)","1148.70","1148.70","1148.70","1148.70"
"Tue May 03 1994 00:00:00 GMT+0530 (India Standard Time)","1132.00","1132.00","1132.00","1132.00"
"Wed May 04 1994 00:00:00 GMT+0530 (India Standard Time)","1121.50","1121.50","1121.50","1121.50"
"Thu May 05 1994 00:00:00 GMT+0530 (India Standard Time)","1129.70","1129.70","1129.70","1129.70"
"Fri May 06 1994 00:00:00 GMT+0530 (India Standard Time)","1155.20","1155.20","1155.20","1155.20"
"Mon May 09 1994 00:00:00 GMT+0530 (India Standard Time)","1173.40","1173.40","1173.40","1173.40"
"Tue May 10 1994 00:00:00 GMT+0530 (India Standard Time)","1180.00","1180.00","1180.00","1180.00"
"Wed May 11 1994 00:00:00 GMT+0530 (India Standard Time)","1185.80","1185.80","1185.80","1185.80"
"Fri May 13 1994 00:00:00 GMT+0530 (India Standard Time)","1198.30","1198.30","1198.30","1198.30"
"Mon May 16 1994 00:00:00 GMT+0530 (India Standard Time)","1210.80","1210.80","1210.80","1210.80"
"Tue May 17 1994 00:00:00 GMT+0530 (India Standard Time)","1197.00","1197.00","1197.00","1197.00"
