"Date","Open","High","Low","Close"
"Tue Jan 27 1998 00:00:00 GMT+0530 (India Standard Time)","986.90","988.00","959.40","963.30"
"Wed Jan 28 1998 00:00:00 GMT+0530 (India Standard Time)","962.60","969.70","940.10","944.80"
"Thu Jan 29 1998 00:00:00 GMT+0530 (India Standard Time)","944.50","944.50","929.00","941.30"
"Fri Jan 30 1998 00:00:00 GMT+0530 (India Standard Time)","941.40","965.30","941.40","963.40"
"Mon Feb 02 1998 00:00:00 GMT+0530 (India Standard Time)","963.40","978.00","962.20","976.60"
"Tue Feb 03 1998 00:00:00 GMT+0530 (India Standard Time)","977.00","979.50","967.80","975.20"
"Wed Feb 04 1998 00:00:00 GMT+0530 (India Standard Time)","975.90","988.40","965.40","967.90"
"Thu Feb 05 1998 00:00:00 GMT+0530 (India Standard Time)","968.10","980.40","968.10","976.10"
"Fri Feb 06 1998 00:00:00 GMT+0530 (India Standard Time)","976.10","981.20","971.90","977.60"
"Mon Feb 09 1998 00:00:00 GMT+0530 (India Standard Time)","977.50","980.70","973.10","976.10"
"Tue Feb 10 1998 00:00:00 GMT+0530 (India Standard Time)","976.10","976.10","962.00","963.70"
"Wed Feb 11 1998 00:00:00 GMT+0530 (India Standard Time)","964.20","971.70","956.00","958.90"
"Thu Feb 12 1998 00:00:00 GMT+0530 (India Standard Time)","959.00","960.20","949.60","956.60"
"Fri Feb 13 1998 00:00:00 GMT+0530 (India Standard Time)","956.80","978.10","956.80","974.50"
"Tue Feb 17 1998 00:00:00 GMT+0530 (India Standard Time)","974.60","1002.10","974.60","991.70"
"Wed Feb 18 1998 00:00:00 GMT+0530 (India Standard Time)","992.10","997.80","984.00","988.80"
"Thu Feb 19 1998 00:00:00 GMT+0530 (India Standard Time)","988.90","1001.10","988.90","997.50"
"Fri Feb 20 1998 00:00:00 GMT+0530 (India Standard Time)","997.10","1006.20","991.80","993.60"
"Mon Feb 23 1998 00:00:00 GMT+0530 (India Standard Time)","994.10","1011.70","994.10","1009.60"
"Tue Feb 24 1998 00:00:00 GMT+0530 (India Standard Time)","1009.50","1017.50","1007.40","1014.10"
"Wed Feb 25 1998 00:00:00 GMT+0530 (India Standard Time)","1014.10","1037.10","1014.10","1036.00"
"Thu Feb 26 1998 00:00:00 GMT+0530 (India Standard Time)","1036.30","1048.50","1032.40","1045.80"
"Fri Feb 27 1998 00:00:00 GMT+0530 (India Standard Time)","1045.80","1064.10","1045.70","1060.70"
"Mon Mar 02 1998 00:00:00 GMT+0530 (India Standard Time)","1060.90","1100.80","1060.90","1098.20"
"Tue Mar 03 1998 00:00:00 GMT+0530 (India Standard Time)","1099.20","1101.90","1046.70","1063.50"
"Wed Mar 04 1998 00:00:00 GMT+0530 (India Standard Time)","1062.70","1094.40","1062.70","1092.30"
"Thu Mar 05 1998 00:00:00 GMT+0530 (India Standard Time)","1091.90","1098.90","1079.90","1083.30"
"Fri Mar 06 1998 00:00:00 GMT+0530 (India Standard Time)","1083.30","1086.00","1073.20","1081.40"
"Mon Mar 09 1998 00:00:00 GMT+0530 (India Standard Time)","1081.90","1100.40","1081.90","1099.50"
"Tue Mar 10 1998 00:00:00 GMT+0530 (India Standard Time)","1099.30","1102.80","1082.70","1086.00"
"Wed Mar 11 1998 00:00:00 GMT+0530 (India Standard Time)","1086.60","1102.50","1074.50","1083.00"
"Thu Mar 12 1998 00:00:00 GMT+0530 (India Standard Time)","1083.30","1083.90","1072.40","1077.50"
"Mon Mar 16 1998 00:00:00 GMT+0530 (India Standard Time)","1077.70","1102.50","1077.70","1090.40"
"Tue Mar 17 1998 00:00:00 GMT+0530 (India Standard Time)","1090.20","1090.20","1072.70","1083.30"
"Wed Mar 18 1998 00:00:00 GMT+0530 (India Standard Time)","1083.80","1108.20","1083.80","1103.30"
"Thu Mar 19 1998 00:00:00 GMT+0530 (India Standard Time)","1103.80","1113.40","1099.80","1105.80"
"Fri Mar 20 1998 00:00:00 GMT+0530 (India Standard Time)","1105.50","1112.40","1097.70","1109.50"
"Mon Mar 23 1998 00:00:00 GMT+0530 (India Standard Time)","1110.00","1124.80","1110.00","1124.00"
"Tue Mar 24 1998 00:00:00 GMT+0530 (India Standard Time)","1124.20","1137.80","1117.30","1120.80"
"Wed Mar 25 1998 00:00:00 GMT+0530 (India Standard Time)","1121.40","1149.30","1121.40","1146.90"
"Thu Mar 26 1998 00:00:00 GMT+0530 (India Standard Time)","1147.60","1156.70","1127.30","1129.50"
"Fri Mar 27 1998 00:00:00 GMT+0530 (India Standard Time)","1129.50","1142.00","1121.20","1140.30"
"Mon Mar 30 1998 00:00:00 GMT+0530 (India Standard Time)","1140.50","1146.60","1122.90","1124.80"
"Tue Mar 31 1998 00:00:00 GMT+0530 (India Standard Time)","1124.70","1127.50","1111.80","1116.90"
"Wed Apr 01 1998 00:00:00 GMT+0530 (India Standard Time)","1117.10","1151.00","1117.10","1150.00"
"Thu Apr 02 1998 00:00:00 GMT+0530 (India Standard Time)","1150.40","1169.50","1150.40","1157.40"
"Fri Apr 03 1998 00:00:00 GMT+0530 (India Standard Time)","1157.90","1174.50","1157.30","1173.40"
"Mon Apr 06 1998 00:00:00 GMT+0530 (India Standard Time)","1173.50","1191.50","1173.50","1187.00"
"Tue Apr 07 1998 00:00:00 GMT+0530 (India Standard Time)","1187.30","1199.50","1184.00","1187.80"
"Thu Apr 09 1998 00:00:00 GMT+0530 (India Standard Time)","1189.40","1224.20","1189.40","1209.50"
"Fri Apr 10 1998 00:00:00 GMT+0530 (India Standard Time)","1209.70","1209.90","1189.40","1192.40"
"Mon Apr 13 1998 00:00:00 GMT+0530 (India Standard Time)","1191.60","1191.60","1156.80","1159.40"
"Wed Apr 15 1998 00:00:00 GMT+0530 (India Standard Time)","1159.50","1210.50","1159.50","1206.30"
"Thu Apr 16 1998 00:00:00 GMT+0530 (India Standard Time)","1206.30","1215.00","1194.50","1197.00"
"Fri Apr 17 1998 00:00:00 GMT+0530 (India Standard Time)","1197.00","1211.80","1189.70","1210.00"
"Mon Apr 20 1998 00:00:00 GMT+0530 (India Standard Time)","1210.00","1222.50","1202.20","1207.10"
"Tue Apr 21 1998 00:00:00 GMT+0530 (India Standard Time)","1207.20","1218.90","1207.20","1212.70"
"Wed Apr 22 1998 00:00:00 GMT+0530 (India Standard Time)","1212.90","1247.10","1208.00","1210.80"
"Thu Apr 23 1998 00:00:00 GMT+0530 (India Standard Time)","1210.20","1211.30","1179.70","1182.00"
"Fri Apr 24 1998 00:00:00 GMT+0530 (India Standard Time)","1182.10","1183.70","1144.80","1173.80"
"Mon Apr 27 1998 00:00:00 GMT+0530 (India Standard Time)","1173.80","1180.20","1161.20","1164.30"
"Tue Apr 28 1998 00:00:00 GMT+0530 (India Standard Time)","1164.00","1164.30","1144.50","1146.80"
"Wed Apr 29 1998 00:00:00 GMT+0530 (India Standard Time)","1151.30","1178.00","1147.00","1151.00"
"Thu Apr 30 1998 00:00:00 GMT+0530 (India Standard Time)","1151.40","1161.00","1137.80","1159.30"
"Mon May 04 1998 00:00:00 GMT+0530 (India Standard Time)","1159.80","1185.70","1159.80","1185.10"
"Tue May 05 1998 00:00:00 GMT+0530 (India Standard Time)","1185.20","1191.20","1177.30","1188.00"
"Wed May 06 1998 00:00:00 GMT+0530 (India Standard Time)","1188.00","1196.70","1169.10","1172.40"
"Fri May 08 1998 00:00:00 GMT+0530 (India Standard Time)","1172.00","1172.20","1157.30","1161.50"
"Mon May 11 1998 00:00:00 GMT+0530 (India Standard Time)","1162.20","1162.90","1156.40","1160.30"
"Tue May 12 1998 00:00:00 GMT+0530 (India Standard Time)","1160.10","1160.10","1100.00","1132.20"
"Wed May 13 1998 00:00:00 GMT+0530 (India Standard Time)","1132.00","1132.00","1091.20","1094.00"
"Thu May 14 1998 00:00:00 GMT+0530 (India Standard Time)","1094.00","1121.70","1081.50","1118.60"
"Fri May 15 1998 00:00:00 GMT+0530 (India Standard Time)","1119.10","1130.40","1104.20","1110.00"
"Mon May 18 1998 00:00:00 GMT+0530 (India Standard Time)","1110.60","1130.00","1110.60","1119.80"
"Tue May 19 1998 00:00:00 GMT+0530 (India Standard Time)","1119.80","1125.10","1116.20","1121.70"
"Wed May 20 1998 00:00:00 GMT+0530 (India Standard Time)","1121.70","1142.90","1121.70","1141.30"
