"Date","Open","High","Low","Close"
"Fri Jul 26 2002 00:00:00 GMT+0530 (India Standard Time)","1001.00","1001.00","972.50","973.50"
"Mon Jul 29 2002 00:00:00 GMT+0530 (India Standard Time)","973.00","977.90","953.10","971.60"
"Tue Jul 30 2002 00:00:00 GMT+0530 (India Standard Time)","973.00","987.50","956.80","960.60"
"Wed Jul 31 2002 00:00:00 GMT+0530 (India Standard Time)","960.30","964.10","943.60","958.90"
"Thu Aug 01 2002 00:00:00 GMT+0530 (India Standard Time)","959.20","972.00","954.10","957.70"
"Fri Aug 02 2002 00:00:00 GMT+0530 (India Standard Time)","957.50","957.50","935.50","954.70"
"Mon Aug 05 2002 00:00:00 GMT+0530 (India Standard Time)","954.90","966.50","953.90","963.20"
"Tue Aug 06 2002 00:00:00 GMT+0530 (India Standard Time)","963.30","969.50","955.40","966.60"
"Wed Aug 07 2002 00:00:00 GMT+0530 (India Standard Time)","967.70","978.60","966.50","969.10"
"Thu Aug 08 2002 00:00:00 GMT+0530 (India Standard Time)","969.10","971.70","951.20","953.50"
"Fri Aug 09 2002 00:00:00 GMT+0530 (India Standard Time)","953.80","963.80","948.00","961.90"
"Mon Aug 12 2002 00:00:00 GMT+0530 (India Standard Time)","961.10","971.50","961.10","969.80"
"Tue Aug 13 2002 00:00:00 GMT+0530 (India Standard Time)","970.40","977.20","969.90","976.00"
"Wed Aug 14 2002 00:00:00 GMT+0530 (India Standard Time)","976.00","976.20","967.20","969.60"
"Fri Aug 16 2002 00:00:00 GMT+0530 (India Standard Time)","970.70","981.20","968.30","979.20"
"Mon Aug 19 2002 00:00:00 GMT+0530 (India Standard Time)","979.40","983.50","978.20","979.80"
"Tue Aug 20 2002 00:00:00 GMT+0530 (India Standard Time)","979.70","990.80","979.00","988.50"
"Wed Aug 21 2002 00:00:00 GMT+0530 (India Standard Time)","988.60","994.20","984.30","988.40"
"Thu Aug 22 2002 00:00:00 GMT+0530 (India Standard Time)","988.50","995.30","983.40","985.70"
"Fri Aug 23 2002 00:00:00 GMT+0530 (India Standard Time)","985.70","996.40","984.70","995.20"
"Mon Aug 26 2002 00:00:00 GMT+0530 (India Standard Time)","992.40","1001.40","986.10","998.80"
"Tue Aug 27 2002 00:00:00 GMT+0530 (India Standard Time)","998.80","1003.30","985.70","987.70"
"Wed Aug 28 2002 00:00:00 GMT+0530 (India Standard Time)","987.30","988.10","981.10","985.70"
"Thu Aug 29 2002 00:00:00 GMT+0530 (India Standard Time)","985.80","989.40","981.40","987.20"
"Fri Aug 30 2002 00:00:00 GMT+0530 (India Standard Time)","987.60","1012.70","986.70","1010.60"
"Mon Sep 02 2002 00:00:00 GMT+0530 (India Standard Time)","1010.90","1024.60","1010.80","1013.50"
"Tue Sep 03 2002 00:00:00 GMT+0530 (India Standard Time)","1013.60","1014.80","999.40","1001.10"
"Wed Sep 04 2002 00:00:00 GMT+0530 (India Standard Time)","1000.70","1008.80","990.80","1006.90"
